,Cell_ID,CellTarget,Genotype,RMP,Rin,Tau,Rheobase,Spike_Threshold,Spike_Height,Spike_HalfWidth,MaxFiringFrequency,Adaptation,AHP_amplitude,VoltageSag
0,Dlx1.1,Dlx5/6,Het,-63.893005,355.2081882953644,0.010789495353813874,-20000.0,-40.100098,67.13867,0.001649999999997931,69.99999999999999,33.33333333333333,18.188477,3.2653809
1,Dlx1.2,Dlx5/6,Het,-70.29511,210.27450263500214,0.028163572745204646,70.80078,-43.21289,57.70874,0.0017500000000154614,57.999999999999986,37.5,13.61084,2.746582
2,Dlx1.3,Dlx5/6,Het,-67.69342,209.54056084156036,0.029234682705446356,-22.583008,-50.323486,50.41504,0.08875000000000455,75.99999999999999,40.0,9.460449,4.760742
3,Dlx10.1,Dlx5/6,fl/fl,-69.00345,421.21657729148865,0.05094209339452366,38.45215,-42.23633,67.230225,0.0016500000000014836,39.99999999999999,50.0,14.862061,12.054443
4,Dlx10.2,Dlx5/6,fl/fl,-74.42526,382.8926086425781,0.020531492377572146,63.476562,-44.98291,62.13379,0.0016999999999995907,47.99999999999999,62.5,10.040283,0.579834
5,Dlx10.3,Dlx5/6,fl/fl,-65.72409,1464.0296697616577,0.054421090163758894,-0.61035156,-43.151855,66.65039,0.05395000000000039,47.99999999999999,33.33333333333333,16.75415,1.1901855
6,Dlx11.1,Dlx5/6,fl/fl,-69.20681,380.0828754901886,0.023201697450429083,68.359375,-40.161133,44.281006,0.001550000000008822,65.99999999999999,50.0,11.169434,3.540039
7,Dlx12.1,Dlx5/6,Het,-74.45123,235.27781665325165,0.02128803233280231,101.31836,-44.128418,57.495117,0.0011499999999955435,91.99999999999999,33.33333333333333,18.432617,1.4648438
8,Dlx4.1,Dlx5/6,fl/fl,-76.12314,313.5284423828125,0.02629669303649853,-10.0,-41.35132,65.12451,0.001649999999997931,42.0,20.0,16.235352,1.0681152
9,Dlx4.2,Dlx5/6,fl/fl,-61.427982,210.88790893554688,0.03036797850333893,-10.0,-47.27173,73.76099,0.0015500000000017167,48.0,0.0,11.383057,2.6855469
10,Dlx4.3,Dlx5/6,fl/fl,-63.826603,265.667724609375,0.03304607360086589,-10.0,-37.04834,51.05591,0.0021999999999948727,52.0,16.666666666666664,25.360107,2.6245117
11,Dlx4.4,Dlx5/6,fl/fl,-67.13147,674.957275390625,0.06656826690512967,-10.0,-38.78784,53.741455,0.001649999999997931,50.0,0.0,21.514893,0.61035156
12,Dlx4.5,Dlx5/6,fl/fl,-70.23767,,,-10.0,-38.116455,35.27832,0.0022999999999981924,56.0,28.57142857142857,12.72583,1.4038086
13,Dlx6.1,Dlx5/6,Het,-69.69171,198.86398315429688,0.016119256682707913,-10.0,-29.205322,33.63037,0.0011499999999955435,122.0,-9.090909090909092,21.362305,2.532959
14,Dlx6.2,Dlx5/6,Het,,278.9849042892456,0.0145847644850314,65,,,,127.99999999999997,26.666666666666668,,4.5166016
15,Dlx7.1,Dlx5/6,Mut,-71.33267,297.9973554611206,0.03933499957555345,70.80078,-46.26465,58.776855,0.0015499999999946112,63.999999999999986,37.5,10.83374,3.9978027
16,Dlx7.2,Dlx5/6,Mut,-77.12537,375.49668550491333,0.015318443830468305,70.19043,-38.238525,58.746338,0.0020000000000024443,75.99999999999999,50.0,14.709473,-0.091552734
17,Dlx7.3,Dlx5/6,Mut,,,,60,,,,,,,
18,Dlx7.4,Dlx5/6,Mut,-67.32144,303.9652407169342,0.048934330052243756,68.359375,-42.663574,67.26074,0.0016999999999995907,53.999999999999986,37.5,10.772705,1.5869141
19,Dlx8.1,Dlx5/6,Het,-68.93152,256.2289834022522,0.03303766329094905,1.2207031,-65.460205,76.11084,0.0018500000000010175,59.999999999999986,44.44444444444444,-5.4016113,6.652832
20,Dlx8.2,Dlx5/6,Het,-63.66977,223.7709015607834,0.009905282986366313,32.958984,-48.461914,55.29785,0.001200000000000756,101.99999999999997,30.76923076923077,14.160156,4.180908
21,Dlx8.3,Dlx5/6,Het,-72.20261,331.1607241630554,0.03704697829770066,59.814453,-44.281006,48.034668,0.0012499999999988631,75.99999999999999,40.0,21.575928,3.8757324
22,Dlx9.1,Dlx5/6,Het,-62.533875,86.4299014210701,0.009392099138325127,231.9336,-40.06958,52.703857,0.06989999999998986,73.99999999999999,45.45454545454545,10.528564,1.6479492
23,Dlx9.2,Dlx5/6,Het,-59.944702,292.8266227245331,0.02632569495454333,46.38672,-35.217285,49.468994,0.00269999999999726,49.999999999999986,50.0,16.235352,2.7770996
24,Dlx9.3,Pyr,Het,-72.149475,199.15390014648438,0.022617931250973007,98.2666,-35.064697,67.32178,0.002200000000001978,25.999999999999993,100.0,20.874023,0.579834
