Cell_ID,foldername,filename,filetype,CellTarget
Dlx1.2,D:\8.CEDL\1.IntrinsicProfiles,19o30026.abf,Baseline,Dlx5/6
Dlx1.2,D:\8.CEDL\1.IntrinsicProfiles,19o30027.abf,Rin,Dlx5/6
Dlx1.2,D:\8.CEDL\1.IntrinsicProfiles,19o30028.abf,IntrinsicProfile,Dlx5/6
Dlx1.2,D:\8.CEDL\1.IntrinsicProfiles,19o30029.abf,IntrinsicProfile,Dlx5/6
Dlx1.2,D:\8.CEDL\1.IntrinsicProfiles,19o30030.abf,IntrinsicProfile,Dlx5/6
Dlx1.2,D:\8.CEDL\1.IntrinsicProfiles,19o30033.abf,IntrinsicProfile,Dlx5/6
Dlx1.2,D:\8.CEDL\1.IntrinsicProfiles,19o30034.abf,IntrinsicProfile,Dlx5/6
Dlx1.2,D:\8.CEDL\1.IntrinsicProfiles,19o30035.abf,IntrinsicProfile,Dlx5/6
Dlx1.3,D:\8.CEDL\1.IntrinsicProfiles,19o30037.abf,Rin,Dlx5/6
Dlx1.3,D:\8.CEDL\1.IntrinsicProfiles,19o30038.abf,Baseline,Dlx5/6
Dlx1.3,D:\8.CEDL\1.IntrinsicProfiles,19o30039.abf,IntrinsicProfile,Dlx5/6
Dlx1.3,D:\8.CEDL\1.IntrinsicProfiles,19o30040.abf,IntrinsicProfile,Dlx5/6
Dlx1.3,D:\8.CEDL\1.IntrinsicProfiles,19o30041.abf,IntrinsicProfile,Dlx5/6
Dlx1.3,D:\8.CEDL\1.IntrinsicProfiles,19o30042.abf,IntrinsicProfile,Dlx5/6
Dlx1.3,D:\8.CEDL\1.IntrinsicProfiles,19o30043.abf,IntrinsicProfile,Dlx5/6
Dlx1.3,D:\8.CEDL\1.IntrinsicProfiles,19o30044.abf,IntrinsicProfile,Dlx5/6
Dlx1.3,D:\8.CEDL\1.IntrinsicProfiles,19o30045.abf,IntrinsicProfile,Dlx5/6
Dlx1.3,D:\8.CEDL\1.IntrinsicProfiles,19o30046.abf,IntrinsicProfile,Dlx5/6
Dlx1.3,D:\8.CEDL\1.IntrinsicProfiles,19o30050.abf,IntrinsicProfile,Dlx5/6
Dlx1.3,D:\8.CEDL\1.IntrinsicProfiles,19o30051.abf,IntrinsicProfile,Dlx5/6
Dlx1.3,D:\8.CEDL\1.IntrinsicProfiles,19o30052.abf,IntrinsicProfile,Dlx5/6
Dlx1.3,D:\8.CEDL\1.IntrinsicProfiles,19o30053.abf,IntrinsicProfile,Dlx5/6
Dlx12.1,D:\8.CEDL\1.IntrinsicProfiles,19n15047.abf,Rin,Dlx5/6
Dlx12.1,D:\8.CEDL\1.IntrinsicProfiles,19n15048.abf,Baseline,Dlx5/6
Dlx12.1,D:\8.CEDL\1.IntrinsicProfiles,19n15049.abf,IntrinsicProfile,Dlx5/6
Dlx12.1,D:\8.CEDL\1.IntrinsicProfiles,19n15050.abf,IntrinsicProfile,Dlx5/6
Dlx12.1,D:\8.CEDL\1.IntrinsicProfiles,19n15051.abf,IntrinsicProfile,Dlx5/6
Dlx12.1,D:\8.CEDL\1.IntrinsicProfiles,19n15052.abf,IntrinsicProfile,Dlx5/6
Dlx12.1,D:\8.CEDL\1.IntrinsicProfiles,19n15053.abf,IntrinsicProfile,Dlx5/6
Dlx12.1,D:\8.CEDL\1.IntrinsicProfiles,19n15054.abf,IntrinsicProfile,Dlx5/6
